title,price,location,time,status,url,seller_nickname,description,image_count
버킷햇,"5,000원",대전 서구 둔산동,끌올 41분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B2%84%ED%82%B7%ED%96%87-a22dhuejwafo/,호하하하,1. 데님 프린지 버킷햇 2. 화이트 프린지 버킷햇 3. 갈색 버킷햇  세개다 구매시 에눌,8
어반드레스 니트 원피스,"10,000원",대전 서구 둔산동,끌올 42분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%96%B4%EB%B0%98%EB%93%9C%EB%A0%88%EC%8A%A4-%EB%8B%88%ED%8A%B8-%EC%9B%90%ED%94%BC%EC%8A%A4-yj4cds7buxr3/,호하하하,"회색 V넥 루즈핏 니트 스웨터입니다 아크릴 100% 소재입니다 사이즈는 FREE이며, 상세 사이즈는 다음과 같습니다 - 총장: 90cm - 어깨+소매: 72.5cm - 가슴: 59.5cm - 암홀: 33cm - 밑단: 53cm",7
무센트 크롭 니트 가디건,"5,000원",대전 서구 둔산동,끌올 42분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%AC%B4%EC%84%BC%ED%8A%B8-%ED%81%AC%EB%A1%AD-%EB%8B%88%ED%8A%B8-%EA%B0%80%EB%94%94%EA%B1%B4-vz4ytxxaj12k/,호하하하,"무센트 네이비 컬러 꽈배기 크롭 니트 가디건입니다! 꽈배기 패턴이 들어가 있고, 크롭 기장이라 귀엽게 코디하기 좋아요 약간의 사용감 있지만, 전체적으로 깨끗합니다~",5
얼모스트블루 이어폰 C타입,"15,000원",대전 서구 둔산동,끌올 42분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%96%BC%EB%AA%A8%EC%8A%A4%ED%8A%B8%EB%B8%94%EB%A3%A8-%EC%9D%B4%EC%96%B4%ED%8F%B0-c%ED%83%80%EC%9E%85-rvee2a5rwzhv/,호하하하,얼모스트블루 Snow Earphones C타입 이어폰입니다 핑크색입니다 이번주 배송온 새상품입니당,5
꼼파뇨 타투 후드,"16,000원",대전 서구 둔산동,끌올 42분 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%BC%BC%ED%8C%8C%EB%87%A8-%ED%83%80%ED%88%AC-%ED%9B%84%EB%93%9C-smgt9iaodjg7/,호하하하,"레터링 타투 후드 기모 그레이 색상입니다 앞면에는 '72' 숫자와 'Don't hate' 문구가, 뒷면에는 개성 있는 그림이 디자인되어 있습니다 상태좋은편입니다",9
"또봇 쪼꼬베이스, 또키 6개","30,000원",대전 서구 둔산동,43분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%98%90%EB%B4%87-%EC%AA%BC%EA%BC%AC%EB%B2%A0%EC%9D%B4%EC%8A%A4-%EB%98%90%ED%82%A4-6%EA%B0%9C-nu3wixosthnj/,byeol,"또봇 쪼꼬베이스, 또키 6개 입니다 가격제안 받아요~ 환불 X",6
질바이질스튜어트 베이지 체크 버킷백,"7,000원",대전 서구 둔산동,끌올 43분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A7%88%EB%B0%94%EC%9D%B4%EC%A7%88%EC%8A%A4%ED%8A%9C%EC%96%B4%ED%8A%B8-%EB%B2%A0%EC%9D%B4%EC%A7%80-%EC%B2%B4%ED%81%AC-%EB%B2%84%ED%82%B7%EB%B0%B1-vaeu4xu1mux1/,호하하하,질바이질스튜어트 베이지 체크 버킷백입니다 쿨거만용 환불x,6
갤럭시 s24울트라 256기가 실버,"750,000원",대전 서구 둔산동,45분 전,판매중,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-s24%EC%9A%B8%ED%8A%B8%EB%9D%BC-256%EA%B8%B0%EA%B0%80-%EC%8B%A4%EB%B2%84-k585m59dj9nh/,민머리캡틴,정상해지 완료된 폰입니다!!  연락주세요!!,7
러브앤쇼 핑크 니트 (사이즈 55정도),"3,000원",대전 서구 둔산동,끌올 46분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%9F%AC%EB%B8%8C%EC%95%A4%EC%87%BC-%ED%95%91%ED%81%AC-%EB%8B%88%ED%8A%B8-%EC%82%AC%EC%9D%B4%EC%A6%88-55%EC%A0%95%EB%8F%84-bsh5619gay9j/,당근당근,"- 길이 62cm - 상태는 사진과 같습니다. - 거래 시 상태 꼼꼼히 확인해주세요.  ⭐️대면거래만⭐️ 합니다! - 교환/환불❌, 문고리/택배❌ - 판매 중인 다른 옷들도 많이 있으니 같이 구경하세요~",9
메종프랑세즈 우산 새상품,"6,000원",대전 서구 둔산동,끌올 46분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A9%94%EC%A2%85%ED%94%84%EB%9E%91%EC%84%B8%EC%A6%88-%EC%9A%B0%EC%82%B0-%EC%83%88%EC%83%81%ED%92%88-tpriid8i2h39/,당근당근,"- 촬영용으로 꺼낸 것 말고는 미사용 우산입니다. 총 2개 있으며 1개 당 가격입니다. - 사진에 보이는 모습에서, 세로 총 길이 32cm입니다. - 거래 시 상태 꼼꼼히 확인해주세요.  ⭐️대면거래만⭐️ 합니다! - 교환/환불❌, 문고리/택배❌",8
