title,price,location,time,status,seller_nickname,description,image_count,chat_count,interest_count,view_count,manner_temperature,url
차오차이 마라샹궈 마라훠궈소스 즈마훠궈소스 5개,"5,000원",대전 서구 둔산동,끌올 9분 전,판매중,보글보글,"차오차이 마라훠궈소스 즈마훠궈소스 미개봉 새상품 5개 판매합니다 각 150g으로 3-4인분 양이에요 훠궈, 마라탕, 마라샹궈 등 다양한 마라 요리에 활용하기 좋아요",5,2,1,43,69.8°C,https://www.daangn.com/kr/buy-sell/%EC%B0%A8%EC%98%A4%EC%B0%A8%EC%9D%B4-%EB%A7%88%EB%9D%BC%EC%83%B9%EA%B6%88-%EB%A7%88%EB%9D%BC%ED%9B%A0%EA%B6%88%EC%86%8C%EC%8A%A4-%EC%A6%88%EB%A7%88%ED%9B%A0%EA%B6%88%EC%86%8C%EC%8A%A4-5%EA%B0%9C-rcc3c4mbpq8a/
공진보향 침출차 1.5g x 20개,"50,000원",대전 서구 둔산동,끌올 9분 전,판매중,득템할사람,"공진보향 침출차입니다 - 내용량: 1.5g x 20개입 (30g) - 소비기한: 2년  침향(인도네시아), 당귀(국내산), 산수유(국내산) 등이 함유되어 있습니다 티백으로 들어 있습니다  머그잔에 1개 우려서 먹으면 기운이 따뜻해집니다 선물용으로 좋습니다",7,0,1,13,63.3°C,https://www.daangn.com/kr/buy-sell/%EA%B3%B5%EC%A7%84%EB%B3%B4%ED%96%A5-%EC%B9%A8%EC%B6%9C%EC%B0%A8-1-5g-x-20%EA%B0%9C-6oh9z43rfgpg/
오늘저녁 18:15 메박현대아울렛 영화 <노머시> 보실분,"1,500원",대전 서구 둔산동,12분 전,판매중,Oo,"중앙 좋은 자리로 2연석 있습니다. 1장1500, 나눔안함. 당근페이로 쿨거해주세요~",5,0,0,1,44.4°C,https://www.daangn.com/kr/buy-sell/%EC%98%A4%EB%8A%98%EC%A0%80%EB%85%81-18-15-%EB%A9%94%EB%B0%95%ED%98%84%EB%8C%80%EC%95%84%EC%9A%B8%EB%A0%9B-%EC%98%81%ED%99%94-%EB%85%B8%EB%A8%B8%EC%8B%9C-%EB%B3%B4%EC%8B%A4%EB%B6%84-hug12ioctef4/
"온앤온 가죽 자켓, 44사이즈","30,000원",대전 서구 둔산동,끌올 13분 전,판매중,둔산동,오래전 구입한 옷인데 상태 매우 좋습니다 한 해만 입고 넣어둔 상태입니다 체구가 작아 소매 줄였고요 44-아주 마른55까지 입으실 수 있어요  소매 걷어 입으셔도 돼요,7,0,4,99,37.4°C,https://www.daangn.com/kr/buy-sell/%EC%98%A8%EC%95%A4%EC%98%A8-%EA%B0%80%EC%A3%BD-%EC%9E%90%EC%BC%93-44%EC%82%AC%EC%9D%B4%EC%A6%88-5dm31a7bm755/
가디건 55-마른 66,"7,000원",대전 서구 둔산동,끌올 13분 전,판매중,둔산동,보세 제품이고 반품 시기 놓친 옷이에요 두번 실내에서 입은 옷이고 원단은 부드러운 소재의 옷은 아니에요,6,0,10,329,37.4°C,https://www.daangn.com/kr/buy-sell/%EA%B0%80%EB%94%94%EA%B1%B4-55-%EB%A7%88%EB%A5%B8-66-xsvzymmdjnz5/
조말론 잉글리쉬 페어 앤 프리지아 코롱 30ml,"33,000원",대전 서구 둔산동,끌올 14분 전,판매중,구름구름,조말론 잉글리쉬 페어 앤 프리지아 코롱 30ml입니다 온라인 면세점에서 구매했고 아직 많이 남아있습니다 정가 11만원인데 35000원에 판매합니다.  반값택배비는 제가 부담하겠습니다!😃 편하게 연락 부탁드립니다ㅎㅎ!,7,0,10,102,36.5°C,https://www.daangn.com/kr/buy-sell/%EC%A1%B0%EB%A7%90%EB%A1%A0-%EC%9E%89%EA%B8%80%EB%A6%AC%EC%89%AC-%ED%8E%98%EC%96%B4-%EC%95%A4-%ED%94%84%EB%A6%AC%EC%A7%80%EC%95%84-%EC%BD%94%EB%A1%B1-30ml-7t8vgkku5w4i/
수납형 아일랜드 식탁,"150,000원",대전 서구 둔산동,14분 전,판매중,갓킹,"수납 공간이 있는 아일랜드 식탁입니다 상판은 밝은 오크 색상이고, 하단은 흰색 수납장으로 되어있습니다 수납 공간이 넉넉해서 주방용품이나 식료품 보관에 유용합니다 약간의 사용감은 있지만 전체적으로 깨끗합니다 전체적으로 깨끗합니다 까진곳도없어요 사이즈는제가샀던기억으로는1200이었던거같습니다 하자는 서람문에 줄처럼 먼가자국이생겼는데 닦으면지워지는지는모르겠습니다. 그거감안하고 가격측정했습니다. 진짜좋은제품입니다  이사중이니 낼까지연락없으면 중고업체에게넘기겠습니다.",10,0,1,23,40.4°C,https://www.daangn.com/kr/buy-sell/%EC%88%98%EB%82%A9%ED%98%95-%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C-%EC%8B%9D%ED%83%81-jyihxw5fxfdg/
3M 슈퍼그립 200 작업장갑 M 새상품,"1,600원",대전 서구 둔산동,끌올 15분 전,판매중,챱챱,"3M 슈퍼그립 200 작업장갑 M 사이즈 새제품입니다 NBR Foam Coating 처리되어 고신축성과 강한 내구성을 자랑하며, 스마트폰 터치도 가능해서 작업 중에도 편리하게 사용할 수 있어요 회색이며, 미개봉 새상품입니다 M 17개 개당 가격 1600원  한번에 구입시 네고 가능합니다",5,1,10,291,36.9°C,https://www.daangn.com/kr/buy-sell/3m-%EC%8A%88%ED%8D%BC%EA%B7%B8%EB%A6%BD-200-%EC%9E%91%EC%97%85%EC%9E%A5%EA%B0%91-m-%EC%83%88%EC%83%81%ED%92%88-xteg95caibnt/
"신세계 상품권 15만원 (50,000x3) 교환권","145,000원",대전 유성구 구즉동,17분 전,판매중,망고밍고,"신세계 상품권 50,000 3장 교환권입니다 종이 상품권으로 교환해서 사용 하셔야 돼요",5,0,0,0,42.7°C,https://www.daangn.com/kr/buy-sell/%EC%8B%A0%EC%84%B8%EA%B3%84-%EC%83%81%ED%92%88%EA%B6%8C-15%EB%A7%8C%EC%9B%90-50-000x3-%EA%B5%90%ED%99%98%EA%B6%8C-3tn15k8urtiz/
리벤스 폴딩박스 2개 판매합니다,"10,000원",대전 서구 둔산동,17분 전,판매중,토끼,이사로 짐정리합니다! 아이보리색상 접이식으로 폴딩이 가능합니다 https://ozip.me/Zs415Db 사이즈는 링크참고해주세요,6,1,0,38,42.1°C,https://www.daangn.com/kr/buy-sell/%EB%A6%AC%EB%B2%A4%EC%8A%A4-%ED%8F%B4%EB%94%A9%EB%B0%95%EC%8A%A4-2%EA%B0%9C-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-9syqinogxumk/
