title,price,location,time,status,category,seller_nickname,description,image_count,chat_count,interest_count,view_count,manner_temperature,url
몽크로스 안전화 MC-101 260mm 새상품,"35,000원",대전 서구 둔산동,끌올 41분 전,판매중,남성패션/잡화,챱챱,"몽크로스 안전화 MC-101 260mm 새상품입니다 현장에서 발이 편해야 한다는 문구가 인상적인 몽크로스 스위스 안전화로, 블랙 색상에 깔끔한 디자인입니다 갑피는 TPU 무봉제와 TWINTEX 방수/방진 소재로 되어있어 튼튼하고, 밑창은 Boost Foam과 Non-Slip Rubber로 미끄럼 방지 기능이 탁월합니다 안창은 Pro-Step PU Foam으로 발의 피로도를 줄여주어 장시간 착용에도 편안함을 제공합니다 박스에 담겨있는 새상품이며, Made in China by Korea 제품입니다",7,0,1,144,36.9°C,https://www.daangn.com/kr/buy-sell/%EB%AA%BD%ED%81%AC%EB%A1%9C%EC%8A%A4-%EC%95%88%EC%A0%84%ED%99%94-mc-101-260mm-%EC%83%88%EC%83%81%ED%92%88-e5ja4am5a4vs/
"신세계 상품권 15만원 (50,000x3) 교환권","145,000원",대전 유성구 구즉동,42분 전,판매중,티켓/교환권,망고밍고,"신세계 상품권 50,000 3장 교환권입니다 종이 상품권으로 교환해서 사용 하셔야 돼요",5,0,2,7,42.7°C,https://www.daangn.com/kr/buy-sell/%EC%8B%A0%EC%84%B8%EA%B3%84-%EC%83%81%ED%92%88%EA%B6%8C-15%EB%A7%8C%EC%9B%90-50-000x3-%EA%B5%90%ED%99%98%EA%B6%8C-3tn15k8urtiz/
내셔널지오그래픽,"150,000원",대전 중구 문창동,끌올 48분 전,판매중,남성패션/잡화,유리,내셔널지오그래픽  누빔경량패딩 서울 롯데에서 구매했어요 ⏩️최종가격. 브랜드: 내셔널지오그래픽  색상: 베이지 사이즈: 105 사놓고 옷장보관만한거라  약간의 구김은 생겼네요 손이잘안가 판매합니다  직접보고 결정하세요  ⏩️직거래장소 충무로139,8,1,11,498,41.1°C,https://www.daangn.com/kr/buy-sell/%EB%82%B4%EC%85%94%EB%84%90%EC%A7%80%EC%98%A4%EA%B7%B8%EB%9E%98%ED%94%BD-a8uv5u983zwk/
⭕️요시다 포터 타임 2WAY 브리프케이스 L 655-08298 A급,"380,000원",대전 서구 둔산동,50분 전,판매중,남성패션/잡화,두롱이,"​직거래: 대전 지역 가능  ​택배: 타지역은 당근페이 안전거래로 택배 발송해 드립니다. 더 이상 가격변경 없습니다 다른 가방도 있어요 참고하세요 https://korea.shop-porter.com/product/view.asp?ProductNo=3976&no=216 ""흐물거리는 가방은 싫으신가요? 각 잡힌 비즈니스 포터의 끝판왕, '타임(TIME)'입니다."" 캐주얼한 탱커 라인과 달리, 정장에 완벽하게 어울리며 노트북 수납 등 실용성이 극대화된 모델입니다. 현재 외관상 새 상품과 다를 바 없는 빳빳한 컨디션을 유지하고 있습니다. 깔끔한 출퇴근용 가방을 찾으시는 분께 자신 있게 추천합니다. 📏 제품 스펙 (Specification) ✅ 모델명: PORTER TIME 2WAY BRIEFCASE (PT-655-08298PT10) 블루 ✅ 사이즈: W 410 × H 300 × D 80 (mm) / 15인치 노트북 수납 가능 ✅ 소재: 코듀라 나일론 트윌 (테프론 발수 가공 + PVC 방수 코팅) ✨ 핵심 관리 상태 (Condition) ""가방의 생명인 '각'이 무너지지 않고 새것처럼 빳빳합니다."" ✅ 외부 (A급): 기스, 찍힘, 오염 전혀 없습니다. 포터 타임 특유의 코듀라 원단 결이 그대로 살아있으며, 바닥 모서리까지 완벽하게 깨끗합니다. ✅ 핸들/스트랩: 손잡이 가죽과 어깨 끈 모두 사용감이 느껴지지 않을  정도로 짱짱합니다. 보풀이나 늘어짐 일절 없습니다. ✅ 내부: 펜 자국이나 오염 없이 매우 쾌적합니다. 노트북 포켓 밴딩도 늘어짐 없이 쫀쫀합니다. ✅ 특이사항 (솔직설명): 숄더 스트랩 연결 고리(금속)끼리 닿는 부분에 아주 미세한 마찰 흔적은 있습니다. 하지만 도색이 벗겨지거나 까진 것이 아니라서 실착 시 전혀 티가 나지 않습니다. 이 점을 제외하면 사실상 새것과 다름없습니다. 🏆 이 가방이 필요한 이유 (Features) 프로페셔널한 수납: 외부: 자주 쓰는 폰/지갑을 위한 대형 포켓 (내부 분리됨) 내부: 안전한 PC 수납창, 서류용 찍찍이 포켓, 펜 홀더 등 비즈니스에 최적화된 동선을 제공합니다. 가벼움과 내구성: 가죽 가방처럼 무겁지 않으면서(약 1kg), 일반 나일론보다 훨씬 질긴 '코듀라' 원단을 사용해 전투용으로 써도 끄떡없습니다.",14,0,0,8,44.7°C,https://www.daangn.com/kr/buy-sell/%EC%9A%94%EC%8B%9C%EB%8B%A4-%ED%8F%AC%ED%84%B0-%ED%83%80%EC%9E%84-2way-%EB%B8%8C%EB%A6%AC%ED%94%84%EC%BC%80%EC%9D%B4%EC%8A%A4-l-655-08298-a%EA%B8%89-6fop3ydpjv42/
뉴발란스 2010 차콜색상 280사이즈(1회 착용),"125,000원",대전 서구 둔산동,끌올 52분 전,판매중,남성패션/잡화,식빵과버터,최근에 발매된 뉴발란스 2010 차콜색상 280사이즈 판매합니다.  정확한 상품명은 U20107Z3 입니다.  차콜과 네이비 블랙 색상이 조화롭게 구성되어 다양한 착장에 어울리고 사진보다 실물이 더 세련된 느낌이에요.  사이즈미스로 1회 단시간 착용하고 판매합니다. 바로 신으려고 박스는 처분한 상태라 공홈에서 구매한 내역을 사진으로 첨부했습니다. 더 궁금한 부분이 있으시면 사진으로 찍어 보여드립니다.  둔산동 가람아파트,11,0,11,250,58.7°C,https://www.daangn.com/kr/buy-sell/%EB%89%B4%EB%B0%9C%EB%9E%80%EC%8A%A4-2010-%EC%B0%A8%EC%BD%9C%EC%83%89%EC%83%81-280%EC%82%AC%EC%9D%B4%EC%A6%88-1%ED%9A%8C-%EC%B0%A9%EC%9A%A9-zhqw8ue9ivi1/
스타벅스 아메리카노 2잔+생크림 카스테라,"12,000원",대전 서구 둔산동,53분 전,판매중,티켓/교환권,코코,"10.7까지로 넉넉합니다 정가 13900원이고 매장 따라 음료, 디저트 변경 가능합니다",5,0,1,5,74.9°C,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4-%EC%95%84%EB%A9%94%EB%A6%AC%EC%B9%B4%EB%85%B8-2%EC%9E%94-%EC%83%9D%ED%81%AC%EB%A6%BC-%EC%B9%B4%EC%8A%A4%ED%85%8C%EB%9D%BC-m8wajxjnis3u/
후지필름 X-Half 실버 카메라 + 배터리 충전기,"500,000원",대전 대덕구 오정동,58분 전,판매중,디지털기기,디오션,후지필름 X-Half 실버 카메라입니다 - 배터리 2개와 충전기 함께 드립니다 - 뛰어난 색감으로 인물 사진 촬영에 좋아요 - 작고 가벼워서 휴대하기 편리합니다 보증 유무를 몰라서 싸게 놓아요^^,7,2,7,40,42.9°C,https://www.daangn.com/kr/buy-sell/%ED%9B%84%EC%A7%80%ED%95%84%EB%A6%84-x-half-%EC%8B%A4%EB%B2%84-%EC%B9%B4%EB%A9%94%EB%9D%BC-%EB%B0%B0%ED%84%B0%EB%A6%AC-%EC%B6%A9%EC%A0%84%EA%B8%B0-7eb3u28xodc8/
아이폰17프로맥스 내셔널지오그래픽 아이폰 카드포켓 케이스,"9,000원",대전 서구 둔산동,58분 전,판매중,디지털기기,gggg2222,내셔널지오그래픽 아이폰 케이스입니다 구입하고 잘 사용하지 않아 판매합니다. 상태 좋아요~ 저렴하게 가져가세요~!,7,0,0,13,41.5°C,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B017%ED%94%84%EB%A1%9C%EB%A7%A5%EC%8A%A4-%EB%82%B4%EC%85%94%EB%84%90%EC%A7%80%EC%98%A4%EA%B7%B8%EB%9E%98%ED%94%BD-%EC%95%84%EC%9D%B4%ED%8F%B0-%EC%B9%B4%EB%93%9C%ED%8F%AC%EC%BC%93-%EC%BC%80%EC%9D%B4%EC%8A%A4-pdxasi9kq481/
<왕과 사는 남자> 롯데시네마 영화티켓,"6,000원",대전 중구 오류동,58분 전,판매중,티켓/교환권,까미,믿고보는 (유해진 박지훈 주연 ) <왕과사는남자> 롯데 센트럴 2/14(토) 13:00 연석가능합니다 굿즈제외 영화만 관람하실분,5,1,1,34,51.8°C,https://www.daangn.com/kr/buy-sell/%EC%99%95%EA%B3%BC-%EC%82%AC%EB%8A%94-%EB%82%A8%EC%9E%90-%EB%A1%AF%EB%8D%B0%EC%8B%9C%EB%84%A4%EB%A7%88-%EC%98%81%ED%99%94%ED%8B%B0%EC%BC%93-5czd26ctao4a/
"소노 호텔 앤 리조트상품권 <-> 롯데, 신세계, 현대, NC 상품권과 교환","123,456원",대전 서구 둔산동,1시간 전,판매중,티켓/교환권,상대와양자,"소노(구 대명 리조트) 호텔 앤 리조트 상품권과 롯데, 신세계, NC백화점 상품권 교환 원합니다. 10만원에서 50만원까지 교환 가능하세요.",5,0,1,31,56.2°C,https://www.daangn.com/kr/buy-sell/%EC%86%8C%EB%85%B8-%ED%98%B8%ED%85%94-%EC%95%A4-%EB%A6%AC%EC%A1%B0%ED%8A%B8%EC%83%81%ED%92%88%EA%B6%8C-%EB%A1%AF%EB%8D%B0-%EC%8B%A0%EC%84%B8%EA%B3%84-%ED%98%84%EB%8C%80-nc-%EC%83%81%ED%92%88%EA%B6%8C%EA%B3%BC-%EA%B5%90%ED%99%98-jgx7c9wts17a/
