title,price,location,time,status,category
삼성 DDR4 16GB 3200MHz 2개,"290,000원",대전 서구 둔산동,53분 전,판매중,디지털기기
갤럭시 s22 256기가 그린 일괄판매,"700,000원",대전 서구 둔산동,54분 전,판매중,디지털기기
레오폴드 FC900RBT 그라파이트 블루 저소음 적축 키보드 판매합니다.,"90,000원",대전 서구 둔산동,끌올 57분 전,판매중,디지털기기
⭕️투미 익스펜더블 알파2 트래블 캐리온 사첼 보스턴백<어깨끈 없음>,"180,000원",대전 서구 둔산동,1시간 전,판매중,남성패션/잡화
"신세계 상품권 15만원 (50,000x3) 교환권","145,000원",대전 유성구 구즉동,1시간 전,판매중,티켓/교환권
내셔널지오그래픽,"150,000원",대전 중구 문창동,끌올 2시간 전,판매중,남성패션/잡화
⭕️요시다 포터 타임 2WAY 브리프케이스 L 655-08298 A급,"380,000원",대전 서구 둔산동,2시간 전,판매중,남성패션/잡화
뉴발란스 2010 차콜색상 280사이즈(1회 착용),"125,000원",대전 서구 둔산동,끌올 2시간 전,판매중,남성패션/잡화
"소노 호텔 앤 리조트상품권 <-> 롯데, 신세계, 현대, NC 상품권과 교환","123,456원",대전 서구 둔산동,2시간 전,판매중,티켓/교환권
fossil 시계,"70,000원",대전 서구 둔산동,끌올 2시간 전,판매중,남성패션/잡화
Locpro 락프로 H60N 디지털 도어락 새제품,"54,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기
Crucial-삼성 DDR4 8GB 3200MHz 램 4개,"70,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기
갤럭시 s24울트라 256기가 실버,"750,000원",대전 서구 둔산동,2시간 전,판매중,디지털기기
로케트 Plus Edition RP200-12 배터리,"70,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기
삼성 외장하드 Y3 2TB HX-MK20Y3C,"120,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기
"갤럭시 a23 128gb 블랙, 화이트","100,000원",대전 서구 둔산동,2시간 전,판매중,디지털기기
Mackage Moritz-X 블랙 패딩 40사이즈,"620,000원",대전 서구 둔산동,끌올 2시간 전,판매중,남성패션/잡화
샌디스크 익스트림 프로 듀얼 드라이브 2TB 미개봉,"225,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기
(새상품)스투시 소다캔 기모후드티M,"65,000원",대전 서구 둔산동,끌올 3시간 전,판매중,남성패션/잡화
에르메스 여성 가죽 장갑 블랙 당근합니다,"65,000원",대전 서구 둔산동,3시간 전,판매중,남성패션/잡화
삼성 64GB PC4-2666 서버램 메모리 DDR4 ECC 4개 남 일괄 190만원,"500,000원",대전 서구 둔산동,끌올 3시간 전,판매중,디지털기기
[자급제/미개봉] 아이폰17프로맥스 전색상 판매합니다,"1,920,000원",대전 서구 둔산동,끌올 3시간 전,판매중,디지털기기
"[자급제/미개봉] 아이폰17 화이트,블랙 판매합니다","1,140,000원",대전 서구 둔산동,끌올 3시간 전,판매중,디지털기기
어항 케이스 RTX2060 장착 본체,"595,000원",대전 서구 둔산동,끌올 3시간 전,판매중,디지털기기
가성비 사무용 PC / 윈도우11 + 오피스 풀세팅,"320,000원",대전 서구 둔산동,끌올 3시간 전,판매중,디지털기기
롤 배그 로아 잘 돌아가는 고사양 PC,"800,000원",대전 서구 둔산동,끌올 3시간 전,판매중,디지털기기
나이키 베이퍼맥스 Off-White,"66,000원",대전 서구 둔산동,끌올 3시간 전,판매중,남성패션/잡화
코닥 미니샷3 레트로 C300R 옐로우 + 카메라 가방 + 필름 130매,"180,000원",대전 서구 둔산동,끌올 3시간 전,판매중,디지털기기
컬러풀 RTX 3060 BATTLEAX 8GB,"100,000원",대전 서구 둔산동,3시간 전,판매중,디지털기기
나이키 구스,"60,000원",대전 중구 문창동,끌올 4시간 전,판매중,남성패션/잡화
신세계 상품권 10만원권(2장),"190,000원",대전 서구 둔산동,4시간 전,판매중,티켓/교환권
아이패드 에어 5세대 64GB Wi-Fi + Cellular,"550,000원",대전 서구 둔산동,4시간 전,판매중,디지털기기
"[삽니다] 아이폰17프로,프로맥스 미개봉으로 구매합니다","2,950,000원",대전 서구 둔산동,끌올 4시간 전,판매중,디지털기기
노스페이스 리버톤 온볼 롱패딩 110사이즈,"150,000원",대전 유성구 원신흥동,끌올 4시간 전,판매중,남성패션/잡화
바버 리데스데일 퀼팅 자켓,"75,000원",서울시 서초구 잠원동,끌올 4시간 전,판매중,남성패션/잡화
삼성 M7 32인치 삼탠바이미,"290,000원",대전 서구 괴정동,끌올 4시간 전,판매중,디지털기기
instax mini11 블러쉬 핑크 새상품,"100,000원",대전 서구 둔산동,4시간 전,판매중,디지털기기
코러스 라벨프린터 CR-1246AD,"68,000원",대전 유성구 원신흥동,끌올 4시간 전,판매중,디지털기기
갤럭시 S20 5G 화이트 128GB 판매합니다,"130,000원",대전 서구 둔산동,4시간 전,판매중,디지털기기
메종키츠네 더블폭스 🥕🥕,"63,000원",대전 서구 관저1동,끌올 5시간 전,판매중,남성패션/잡화
메종키츠네 더블폭스 🥕🥕🥕🥕,"63,000원",대전 서구 관저1동,끌올 5시간 전,판매중,남성패션/잡화
브라운 ThermoScan 5 귀체온계 IRT6510 새상품,"60,000원",대전 서구 둔산동,5시간 전,판매중,디지털기기
애플워치8 45mm 블랙,"210,000원",대전 서구 둔산동,끌올 5시간 전,판매중,디지털기기
삼성 갤럭시 와이드8 라이트그린,"240,000원",대전 서구 둔산동,끌올 5시간 전,판매중,디지털기기
도프제이슨 카우하이드 싱글 가죽 자켓,"120,000원",대전 서구 둔산동,5시간 전,판매중,남성패션/잡화
EPOS 로봇 & 삼성 갤럭시탭A SM-T280,"200,000원",대전 서구 둔산동,끌올 5시간 전,판매중,디지털기기
캐나다구스 조끼 패딩 [정품],"300,000원",대전 서구 둔산동,5시간 전,판매중,남성패션/잡화
후지필름 X-T4 XF 18-55mm 렌즈킷 블랙,"1,400,000원",대전 서구 둔산동,끌올 5시간 전,판매중,디지털기기
