title,price,location,time,status,category
고민하다 팔림 ㅅㄱ) 애플펜슬 2세대 S급,"119,000원",대전 유성구 봉명동,끌올 4시간 전,판매중,디지털기기
애플 에어팟 프로 1세대,"50,000원",대전 유성구 봉명동,끌올 3일 전,판매중,디지털기기
애플 매직 키보드 미개봉,"80,000원",대전 유성구 봉명동,끌올 8일 전,판매중,디지털기기
아이패드 에어4 +애플펜슬2,"350,000원",대전 유성구 봉명동,끌올 1일 전,판매중,디지털기기
애플 에어팟4 액티브 노캔 미개봉,"220,000원",대전 유성구 봉명동,끌올 1일 전,판매중,디지털기기
애플 정품 충전기/어댑터 3종 세트 미개봉,"72,000원",대전 유성구 원신흥동,끌올 7일 전,판매중,디지털기기
애플 매직 키보드 새제품,"120,000원",대전 유성구 봉명동,끌올 22일 전,판매중,디지털기기
애플 에어팟 프로 1세대,"70,000원",대전 유성구 봉명동,8일 전,판매중,디지털기기
애플워치 SE2 미개봉 새제품,"250,000원",대전 유성구 봉명동,끌올 5일 전,판매중,디지털기기
M4맥북 에어 13인치 실버 16gb 256gb 애플,"1,200,000원",대전 유성구 봉명동,끌올 8일 전,판매중,디지털기기
[급매] 애플 MagSafe 충전기 미개봉 새상품,"35,000원",대전 서구 괴정동,끌올 7일 전,판매중,디지털기기
애플워치 시리즈 7 45mm,"130,000원",대전 유성구 봉명동,끌올 10일 전,판매중,디지털기기
애플 맥북 충전기 85W 맥세이프2 새상품,"76,000원",서울시 노원구 공릉동,끌올 16일 전,판매중,디지털기기
애플 맥북 프로 14 M4 16GB,"1,700,000원",세종시 반곡동,13일 전,판매중,디지털기기
애플워치 울트라 오션 밴드 네이비 미개봉,"90,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
고장난 애플 에어팟 맥스 실버,"100,000원",대전 유성구 봉명동,끌올 1개월 전,판매중,디지털기기
애플 에어팟 4세대,"185,000원",대전 서구 둔산1동,끌올 10개월 전,판매중,디지털기기
애플펜슬 2세대,"150,000원",대전 유성구 봉명동,8개월 전,판매중,디지털기기
애플워치 SE2 40mm 실버 완전 풀박스 싸게 팝니다,"230,000원",대전 유성구 봉명동,끌올 8일 전,판매중,디지털기기
애플워치4 44미리 스뎅 메인보드입니다 스뎅 메인보드입니다 크라운 작동안합니다 필요하신분 연락주세요,"50,000원",대전 동구 대성동,1년 전,판매중,디지털기기
아이폰 16플러스 애플 정품 케이스,"38,000원",대전 유성구 봉명동,끌올 1개월 전,판매중,디지털기기
애플 매직 트랙패드 화이트(USB C타입) 삽니다,"100,000원",대전 중구 사정동,끌올 7개월 전,판매중,디지털기기
애플 정품 (아이폰 16플러스) 실리콘 케이스,"40,000원",대전 유성구 봉명동,1개월 전,판매중,디지털기기
애플워치 44mm,"150,000원",대전 유성구 봉명동,1년 전,판매중,디지털기기
애플워치 SE 40mm 정품(밴드/충전기 포함),"70,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플워치 se 40mm,"130,000원",대전 유성구 봉명동,끌올 8개월 전,판매중,디지털기기
애플워치4 셀룰러 판매합니다.,"70,000원",대전 유성구 봉명동,끌올 4개월 전,판매중,디지털기기
애플 비츠 솔로 프로,"95,000원",서울시 마포구 상암동,끌올 10개월 전,판매중,디지털기기
레드빈p1 pro 맥세이프 애플워치호환,"70,000원",대전 유성구 봉명동,1년 전,판매중,디지털기기
애플워치7 스타라이트 GPS,"130,000원",대전 유성구 봉명동,1개월 전,판매중,디지털기기
애플 apple AirPods4 노이즈캔슬링 미개봉 에어팟,"230,000원",대전 유성구 봉명동,4개월 전,판매중,디지털기기
애플워치6 40mm,"90,000원",대전 유성구 봉명동,5개월 전,판매중,디지털기기
애플워치se 부품용 판매,"50,000원",대전 유성구 봉명동,6개월 전,판매중,디지털기기
애플 매직 키보드 터치아이디,"75,000원",대전 유성구 봉명동,끌올 14일 전,판매중,디지털기기
애플워치 SE Nike 에디션 40mm GPS,"60,000원",대전 유성구 봉명동,2일 전,판매중,디지털기기
애플 맥북 에어 M1 16GB 512 스페이스 그레이 풀박스,"760,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
애플워치8 41mm 셀룰러 판매합니다.,"150,000원",대전 유성구 봉명동,1일 전,판매중,디지털기기
풀세트) 아이패드 프로 4세대 12.9inch 스페이스 그레이 + 로지텍 키보드 + 라이노케이스 +애플정품펜슬,"750,000원",대전 유성구 봉명동,5일 전,판매중,디지털기기
애플워치 se1 44mm 블랙,"110,000원",대전 유성구 봉명동,4일 전,판매중,디지털기기
애플 에어팟 프로 1세대 (테디독 케이스 포함),"50,000원",대전 유성구 봉명동,16일 전,판매중,디지털기기
애플 맥 미니 M4 16GB/256GB 미개봉 새제품,"860,000원",대전 유성구 봉명동,12일 전,판매중,디지털기기
애플워치se 44미리 팝니다,"41,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
애플 펜슬 1세대,"50,000원",대전 유성구 봉명동,끌올 13일 전,판매중,디지털기기
미개봉 새상품 애플워치 SE3 40mm 스타라이트 GPS,"310,000원",대전 유성구 봉명동,끌올 5일 전,판매중,디지털기기
애플 에어팟 4세대 노캔x 미개봉,"150,000원",대전 유성구 봉명동,11일 전,판매중,디지털기기
애플워치 se 40mm,"45,000원",대전 유성구 봉명동,5일 전,판매중,디지털기기
애플 펜슬 2세대 풀박스,"100,000원",대전 유성구 봉명동,끌올 12일 전,판매중,디지털기기
아이패드 에어3 + 애플펜슬 1세대,"100,000원",대전 유성구 봉명동,끌올 17일 전,판매중,디지털기기
